제목,장르,줄거리있음
미션 임파서블: 고스트 프로토콜,"액션, 스릴러, 모험",O
라이온 킹,"모험, 드라마, 가족, 애니메이션",O
미녀와 야수,"로맨스, 가족, 애니메이션, 판타지",O
맨 인 블랙 2,"액션, 코미디, SF",X
토이 스토리 4,"가족, 코미디, 애니메이션, 모험",X
고질라 VS. 콩,"액션, SF, 모험",O
나 홀로 집에 2: 뉴욕을 헤매다,"코미디, 가족, 모험",O
알라딘,"모험, 판타지, 로맨스, 가족",O
행복을 찾아서,드라마,O
버드 박스,"공포, 스릴러, 드라마",X
오리엔트 특급 살인,"미스터리, 드라마, 범죄",O
스타 트렉: 더 비기닝,"SF, 액션, 모험",X
미스 페레그린과 이상한 아이들의 집,"모험, 판타지",O
인디펜던스 데이,"액션, 모험, SF",X
드래곤 길들이기 2,"판타지, 액션, 모험, 애니메이션, 가족",O
뮬란,"애니메이션, 가족, 모험",X
히든 피겨스,"드라마, 역사",X
설국열차,"액션, SF, 드라마",O
인서전트,"액션, SF, 스릴러",X
조조 래빗,"코미디, 전쟁, 드라마",O
샹치와 텐 링즈의 전설,"액션, 모험, 판타지",O
트레인스포팅,"드라마, 범죄",X
엑스맨: 최후의 전쟁,"모험, 액션, SF",O
닥터 스트레인지: 대혼돈의 멀티버스,"판타지, 액션, 모험",O
수퍼 소닉,"액션, SF, 코미디, 가족",X
디스트릭트 9,SF,O
밀리언 달러 베이비,드라마,O
팀 버튼의 크리스마스 악몽,"판타지, 애니메이션, 가족",X
아이스 에이지 2,"애니메이션, 가족, 코미디, 모험",X
더 울버린,"액션, SF, 모험",X
겨울왕국 2,"가족, 애니메이션, 모험, 코미디, 판타지",O
핸콕,"판타지, 액션",X
엔칸토: 마법의 세계,"애니메이션, 코미디, 가족, 판타지",O
샤잠!,"액션, 코미디, 판타지",X
유령 신부,"로맨스, 판타지, 애니메이션",O
피아니스트,"드라마, 전쟁",X
인투 더 와일드,"모험, 드라마",X
인디아나 존스: 마궁의 사원,"모험, 액션",O
본 아이덴티티,"액션, 미스터리, 스릴러",X
쏘우,"공포, 미스터리, 범죄",X
크루엘라,"코미디, 범죄, 드라마",X
다빈치 코드,"스릴러, 미스터리",O
미이라,"모험, 액션, 판타지",X
알리타: 배틀 엔젤,"액션, SF, 모험",O
12명의 성난 사람들,드라마,O
위대한 쇼맨,드라마,O
왓치맨,"미스터리, 액션, SF",O
스내치,"범죄, 코미디",X
미션 임파서블,"모험, 액션, 스릴러",X
판타스틱 4,"액션, 판타지, SF",X
더 이퀄라이저,"스릴러, 액션, 범죄",X
언브레이커블,"스릴러, 드라마, 미스터리",X
올드보이,"스릴러, 미스터리",X
프리 가이,"코미디, 모험, SF",O
빅쇼트,"코미디, 드라마",X
고질라,"액션, 드라마, SF",X
슈렉 3,"판타지, 모험, 애니메이션, 코미디, 가족",O
고스트버스터즈,"코미디, 판타지",O
뉴 문,"모험, 판타지, 드라마, 로맨스",O
벅스 라이프,"모험, 애니메이션, 코미디, 가족",O
혹성탈출: 종의 전쟁,"드라마, SF, 전쟁",O
미션 임파서블: 로그네이션,"액션, 모험",O
석양의 무법자,서부,O
룸,"드라마, 스릴러",X
스타 트렉: 다크니스,"액션, 모험, SF",X
마이너리티 리포트,"SF, 액션, 스릴러",X
그것: 두 번째 이야기,"공포, 스릴러, 드라마",O
더 수어사이드 스쿼드,"액션, 코미디, 모험",X
탑건,"액션, 드라마, 로맨스",O
시카리오:  암살자의 도시,"액션, 범죄, 스릴러",X
엘리시움,"SF, 액션, 드라마, 스릴러",X
365일,"로맨스, 드라마, 범죄",X
퀸카로 살아남는 법,"드라마, 코미디",O
우리는 밀러 가족,"코미디, 범죄",O
에이리언: 커버넌트,"공포, SF",O
쥬만지: 넥스트 레벨,"모험, 코미디, 판타지",X
서던 리치: 소멸의 땅,"SF, 공포",X
돈 룩 업,"코미디, SF, 드라마",O
새벽의 황당한 저주,"공포, 코미디",O
브레이킹 던 Part 2,"판타지, 드라마, 로맨스",O
킹스 스피치,"드라마, 역사",O
크레이지 스투피드 러브,"코미디, 드라마, 로맨스",O
어바웃 타임,"드라마, 로맨스, 판타지",X
한 솔로: 스타워즈 스토리,"SF, 모험, 액션",O
브레이킹 던 Part 1,"모험, 판타지, 로맨스",O
쥬라기 공원 2: 잃어버린 세계,"모험, 액션, SF",O
행오버 3,코미디,O
리얼 스틸,"액션, SF, 드라마",X
이클립스,"모험, 판타지, 드라마, 로맨스",X
트리플 엑스 리턴즈,"액션, 모험, 범죄",O
우주전쟁,"모험, 스릴러, SF",O
컨저링 2,공포,O
트랜스포머: 패자의 역습,"SF, 액션, 모험",O
프레데터,"SF, 액션, 모험, 스릴러",X
몬스터 호텔,"애니메이션, 코미디, 가족, 판타지",X
이터널스,"SF, 액션, 모험",X
미션 임파서블: 폴아웃,"액션, 모험",O
소스 코드,"스릴러, SF, 미스터리",O
12 몽키즈,"SF, 스릴러, 미스터리",O
지옥의 묵시록,"드라마, 전쟁",X
파고,"범죄, 드라마, 스릴러",X
글래스,"스릴러, 드라마, SF",X
달라스 바이어스 클럽,"드라마, 역사",O
헬프,드라마,O
원더 우먼 1984,"액션, 모험, 판타지",O
코렐라인: 비밀의 문,"애니메이션, 가족, 판타지",O
모노노케 히메,"모험, 판타지, 애니메이션",O
인디아나 존스: 크리스탈 해골의 왕국,"모험, 액션",O
포드 V 페라리,"드라마, 역사, 액션",O
샌 안드레아스,"액션, 드라마, 스릴러",X
레이디 버드,"드라마, 코미디",X
귀여운 여인,"로맨스, 코미디",X
터미네이터 제니시스,"SF, 액션, 스릴러",X
아르고,"드라마, 스릴러",X
트랜스포머 3 : 달의 어둠,"액션, SF, 모험",O
루카,"애니메이션, 가족, 판타지, 드라마, 코미디",X
내가 널 사랑할 수 없는 10가지 이유,"코미디, 로맨스, 드라마",O
장화신은 고양이: 끝내주는 모험,"애니메이션, 모험, 판타지, 코미디, 가족",O
사랑의 블랙홀,"로맨스, 판타지, 코미디",X
투모로우,"SF, 스릴러, 모험",O
아이스 에이지 3: 공룡시대,"애니메이션, 코미디, 가족, 모험",O
분노의 질주: 언리미티드,"액션, 스릴러, 범죄",O
더 퍼지,"SF, 공포, 스릴러",X
이웃집 토토로,"판타지, 애니메이션, 가족",X
씬 시티,"범죄, 스릴러",X
데드풀과 울버린,"액션, 코미디, SF",O
오션스 8,"범죄, 코미디, 액션",O
스포트라이트,"드라마, 역사",X
트랜스포머: 사라진 시대,"SF, 액션, 모험",O
오만과 편견,"드라마, 로맨스",O
나쁜 녀석들: 포에버,"스릴러, 액션, 범죄",O
터미널,"코미디, 드라마",O
스파이더맨: 어크로스 더 유니버스,"애니메이션, 액션, 모험, SF",O
클로버필드 10번지,"스릴러, SF, 드라마, 공포",O
내가 사랑했던 모든 남자들에게,"코미디, 로맨스",O
나이스 가이즈,"코미디, 범죄, 액션",X
엑소시스트,"공포, 드라마",X
록키,드라마,O
유전,"공포, 미스터리, 스릴러",X
스콧 필그림,"액션, 코미디, 로맨스",O
아마겟돈,"액션, SF, 모험",X
캐빈 인 더 우즈,"공포, 미스터리, 코미디",O
토르: 러브 앤 썬더,"판타지, 액션, 코미디",O
배트맨,"판타지, 액션, 범죄",X
공각기동대: 고스트 인 더 쉘,"SF, 드라마, 액션",X
007 퀀텀 오브 솔러스,"모험, 액션, 스릴러",O
심슨 가족: 더 무비,"애니메이션, 코미디, 가족",O
28일 후,"공포, 스릴러, SF",X
조찬 클럽,"코미디, 드라마",X
22 점프 스트리트,"범죄, 코미디, 액션",O
킹콩,"모험, 드라마, 액션",X
마이펫의 이중생활,"애니메이션, 코미디, 가족, 모험",O
레고 무비,"애니메이션, 가족, 모험, 코미디, 판타지",O
애프터,"드라마, 로맨스",X
정글북,"모험, 가족, 판타지",X
카 2,"애니메이션, 가족, 모험, 코미디",O
베이워치: SOS 해상 구조대,"코미디, 액션, 범죄",X
채피,"범죄, 액션, SF",X
비틀쥬스,"판타지, 코미디",O
씽,"애니메이션, 코미디, 가족, 음악",X
부산행,"액션, 공포, 스릴러",X
가디언즈 오브 갤럭시 Vol. 3,"SF, 모험, 액션",O
메이즈 러너: 데스 큐어,"SF, 액션, 모험, 스릴러",O
판타스틱 4: 실버 서퍼의 위협,"SF, 모험, 액션",O
인어공주,"애니메이션, 가족, 판타지",O
노바디,"액션, 스릴러",X
히트,"범죄, 드라마, 액션",X
프렌즈 위드 베네핏,"로맨스, 코미디",X
본 얼티메이텀,"액션, 드라마, 미스터리, 스릴러",O
